t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19
0.000000000000000000e+00,2.659992873937965796e-01,1.016701294011621348e+00,1.410321796702015407e+00,-5.209067843230216210e-01,8.121545326407660914e-01,-2.411490136701113229e-01,-6.254864149988119404e-02,-8.561561663868581806e-02,-1.318932455036746004e-03,1.113960199629339343e+00,1.238275310286112013e-01,-1.537327480580960859e-01,-2.765372315166119144e-01,3.413141492052005899e-01,-8.948680633079112434e-01,-5.026584305499648408e-01,-5.228058110725457980e-02,-5.658483122083672878e-01,-1.184761529368745236e-01,-6.107768629190053478e-01
1.000000000000000021e-02,2.611271868751245950e-01,1.006634861460782515e+00,1.399370109956188823e+00,-5.145721420574680405e-01,8.031317546319847178e-01,-2.398489765794611095e-01,-6.405328531453217955e-02,-8.679759593408024887e-02,-3.617880294936229486e-03,1.103667750872566744e+00,1.201710023449639175e-01,-1.538893472937054585e-01,-2.746122495337948721e-01,3.358717117124226936e-01,-8.844307907274254754e-01,-4.966356012549655308e-01,-5.392473736070406420e-02,-5.587757749775111860e-01,-1.191766918603703457e-01,-6.030180469559250911e-01
2.000000000000000042e-02,2.567077968572836211e-01,9.969203388304563873e-01,1.389218363201701001e+00,-5.086960244544492804e-01,7.944428069195679232e-01,-2.387733749153579388e-01,-6.550529536990189194e-02,-8.796403990519813254e-02,-5.767721975170433078e-03,1.093797771726275903e+00,1.168373675992262356e-01,-1.541393995527974847e-01,-2.729593654511581202e-01,3.309141559490253459e-01,-8.742990526169415189e-01,-4.910674379892434049e-01,-5.549982453807328353e-02,-5.521642862055849976e-01,-1.199145835871767291e-01,-5.957135287252665057e-01
2.999999999999999889e-02,2.530168211352362695e-01,9.878863277255488518e-01,1.380365678572821775e+00,-5.035718375192237417e-01,7.863491776929052435e-01,-2.380389934067225211e-01,-6.685483265035464806e-02,-8.908701138487602755e-02,-7.662104949917238061e-03,1.084733126594624952e+00,1.140324633278227834e-01,-1.545198841882028662e-01,-2.717253487131940926e-01,3.267327169556216715e-01,-8.647669574500715939e-01,-4.862406568901705972e-01,-5.694632976131076829e-02,-5.463206012850644333e-01,-1.206932767035152482e-01,-5.891790164913006667e-01
4.000000000000000083e-02,2.494864143565543313e-01,9.790171151047948328e-01,1.371787674862549489e+00,-4.986710027459304029e-01,7.784362928726192843e-01,-2.373762705266087014e-01,-6.817037428769269491e-02,-9.018858736854243330e-02,-9.491092773606138802e-03,1.075836795065581608e+00,1.113465496406462335e-01,-1.549182863986909853e-01,-2.705851784144642225e-01,3.227256372300453258e-01,-8.554137810693529520e-01,-4.816305846587750628e-01,-5.835336050072723046e-02,-5.407133512937700726e-01,-1.214691756212910728e-01,-5.828888941700577364e-01
5.000000000000000278e-02,2.463803466832171774e-01,9.706432263545531347e-01,1.363948722421651771e+00,-4.942720486041448091e-01,7.709769591978590242e-01,-2.368966755769461030e-01,-6.940543261079877568e-02,-9.124306331772830125e-02,-1.115454658024104921e-02,1.067483112708001336e+00,1.089746231022655776e-01,-1.553704802002599805e-01,-2.696786660644938105e-01,3.191740669291212029e-01,-8.465388624665627360e-01,-4.775092566663546312e-01,-5.966524819393059786e-02,-5.356343842443123116e-01,-1.222463526654348487e-01,-5.771446632996861670e-01
5.999999999999999778e-02,2.436762084016111940e-01,9.628113087425388406e-01,1.356777729528538812e+00,-4.903696702254817796e-01,7.640226489652820474e-01,-2.365789055749528413e-01,-7.055422784313442053e-02,-9.224203729318476708e-02,-1.265394364525556509e-02,1.059697608518174627e+00,1.069015612449809721e-01,-1.558611439972567569e-01,-2.689833444101307203e-01,3.160575165035431344e-01,-8.382014850875448841e-01,-4.738685604141586460e-01,-6.087740879880676470e-02,-5.310861518979201890e-01,-1.230128832984530435e-01,-5.719574840057576326e-01
7.000000000000000666e-02,2.413482712155588794e-01,9.555647624575459576e-01,1.350169780712314971e+00,-4.869508537737539111e-01,7.576313433416380638e-01,-2.363992920540849696e-01,-7.161246236514383356e-02,-9.317811125054571708e-02,-1.399341161654233529e-02,1.052493593472620503e+00,1.051081110274433572e-01,-1.563744921655658149e-01,-2.684736239228992516e-01,3.133537839522529955e-01,-8.304585891037947754e-01,-4.706929329505523119e-01,-6.198694802263860631e-02,-5.270628845534164331e-01,-1.237571454340055110e-01,-5.673300093640980535e-01
8.000000000000000167e-02,2.395895855091560722e-01,9.493696678078744622e-01,1.344196578539748943e+00,-4.842745992887343420e-01,7.522900113695887292e-01,-2.363993590847388304e-01,-7.251608810862322785e-02,-9.399879882244392693e-02,-1.508096529198827210e-02,1.046260775105158691e+00,1.037343549763998229e-01,-1.568957844232438947e-01,-2.682160702497597415e-01,3.112892252947319638e-01,-8.237812284240139116e-01,-4.682267258712254909e-01,-6.292486174245612296e-02,-5.238590514953413990e-01,-1.244441807351066853e-01,-5.635908214461652355e-01
8.999999999999999667e-02,2.381570501370751936e-01,9.438469189139957471e-01,1.338446456099090298e+00,-4.820448599126876399e-01,7.476718163513111914e-01,-2.364861119008713208e-01,-7.332276751566207951e-02,-9.474313324913426204e-02,-1.602114065637644594e-02,1.040595875062244158e+00,1.025959701039859673e-01,-1.574069767580415780e-01,-2.680877704303584186e-01,3.096024200726734121e-01,-8.178152677756955757e-01,-4.661837978693814666e-01,-6.375695239096573763e-02,-5.211569042229993176e-01,-1.250857988911665275e-01,-5.604045174293721399e-01
